id,nutrient,efficacy,tag,tag_ids
1,비타민 A,"(가) 어두운 곳에서 시각 적응을 위해 필요
(나) 피부와 점막을 형성하고 기능을 유지하는데 필요
(다) 상피세포의 성장과 발달에 필요","눈, 성장, 소화, 신경, 피부","[4, 11, 7, 10, 13]"
2,베타카로틴,"(가) 어두운 곳에서 시각 적응을 위해 필요
(나) 피부와 점막을 형성하고 기능을 유지하는데 필요
(다) 상피세포의 성장과 발달에 필요","눈, 성장, 소화, 신경, 피부","[4, 11, 7, 10, 13]"
3,비타민 D,"(가) 칼슘과 인이 흡수되고 이용되는데 필요
(나) 뼈의 형성과 유지에 필요
(다) 골다공증발생 위험 감소에 도움을 줌","뼈, 소화","[6, 7]"
4,비타민 E,(가) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요,항산화,[16]
5,비타민 K,"(가) 정상적인 혈액응고에 필요
(나) 뼈의 구성에 필요","뼈, 혈액","[6, 15]"
6,비타민 B1,(가) 탄수화물과 에너지 대사에 필요,"소화, 피로회복","[7, 18]"
7,비타민 B2,(가) 체내 에너지 생성에 필요,피로회복,[18]
8,나이아신,(가) 체내 에너지 생성에 필요,피로회복,[18]
9,판토텐산,"(가) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요","소화, 피로회복","[7, 18]"
10,비타민 B6,"(가) 단백질 및 아미노산 이용에 필요
(나) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",혈액,[15]
11,엽산,"(가) 세포와 혈액생성에 필요
(나) 태아 신경관의 정상 발달에 필요
(다) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요","성장, 신경, 혈액","[11, 10, 15]"
12,비타민 B12,(가) 정상적인 엽산 대사에 필요,소화,[7]
13,비오틴,"(가) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요","소화, 피로회복","[7, 18]"
14,비타민 C,"(가) 결합조직 형성과 기능유지에 필요
(나) 철의 흡수에 필요
(다) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요","소화, 신경, 항산화","[7, 10, 16]"
15,칼슘,"(가) 뼈와 치아 형성에 필요
(나) 신경과 근육 기능 유지에 필요
(다) 정상적인 혈액응고에 필요
(라) 골다공증 발생 위험 감소에 도움을 줌","뼈, 소화, 신경, 혈액","[6, 7, 10, 15]"
16,마그네슘,"(가) 에너지 이용에 필요
(나) 신경과 근육 기능 유지에 필요","신경, 피로회복","[10, 18]"
17,철,"(가) 체내 산소운반과 혈액생성에 필요
(나) 에너지 생성에 필요","피로회복, 혈액","[18, 15]"
18,아연,"(가) 정상적인 면역기능에 필요
(나) 정상적인 세포분열에 필요","면역, 성장, 신경","[5, 11, 10]"
19,구리,"(가) 철의 운반과 이용에 필요
(나) 유해산소로부터 세포를 보호하는데 필요",항산화,[16]
20,셀레늄,(가) 유해산소로부터 세포를 보호하는데 필요,항산화,[16]
21,요오드,"(가) 갑상선 호르몬의 합성에 필요
(나) 에너지 생성에 필요
(다) 신경발달에 필요","성장, 신경, 피로회복","[11, 10, 18]"
22,망간,"(가) 뼈 형성에 필요
(나) 에너지 이용에 필요
(다) 유해산소로부터 세포를 보호하는데 필요","뼈, 피로회복, 항산화","[6, 18, 16]"
23,몰리브덴,(가) 산화 ･ 환원 효소의 활성에 필요,항산화,[16]
24,칼륨,(가) 체내 물과 전해질 균형에 필요,"수분, 혈액","[9, 15]"
25,크롬,"(가) 체내 탄수화물, 지방, 단백질 대사에 관여",소화,[7]
26,루테인,"(가) 눈 건강 유지에 필요
(나) 황반색소 밀도 유지에 필요
(다) 자외선 및 활성산소로부터 눈을 보호하는 데 필요","눈, 항산화","[4, 16]"
27,인,"(가) 뼈와 치아 형성에 필요
(나) 에너지 생성에 필요
(다) 세포막 구조 유지에 필요","뼈, 피로회복","[6, 18]"
28,메티오닌,"(가) 간 기능 개선에 필요
(나) 항산화 물질인 글루타티온의 합성에 필요
(다) 체내 해독 작용에 필요","간, 해독","[1, 17]"
29,시스테인,"(가) 항산화 작용에 필요
(나) 모발과 피부 건강 유지에 필요
(다) 글루타티온 생합성에 필요","피부, 항산화","[13, 16]"
30,류신,"(가) 근육 단백질 합성에 필요
(나) 근육 회복 및 유지에 도움
(다) 에너지 생성에 필요","근육, 피로회복","[3, 18]"
31,트립토판,"(가) 신경전달물질(세로토닌) 생성에 필요
(나) 수면 유도에 도움
(다) 기분 안정에 기여","신경, 수면","[10, 8]"
32,이소류신,"(가) 근육 회복 및 유지에 필요
(나) 혈당 조절에 도움
(다) 에너지 대사에 필요","근육, 혈당","[3, 14]"
33,라이신,"(가) 단백질 합성에 필요
(나) 칼슘 흡수 촉진에 도움
(다) 면역 기능 강화에 필요","성장, 면역","[11, 5]"
34,트레오닌,"(가) 콜라겐 및 엘라스틴 합성에 필요
(나) 간 기능 유지에 도움
(다) 단백질 대사에 필요",간,[1]
35,페닐알라닌,"(가) 신경전달물질 생성에 필요
(나) 기분 조절과 인지 기능에 도움
(다) 티로신 합성의 전구체로 작용","신경, 기분","[10, 2]"
36,티로신,"(가) 갑상선 호르몬 및 신경전달물질 생성에 필요
(나) 스트레스 대응과 집중력 향상에 도움
(다) 멜라닌 합성에 필요","신경, 집중","[10, 12]"
